experiment,threshold,precision,recall,f1,tp,fp,fn,tn
single_year_year_standardized,0.8,0.02702702702702703,0.5,0.05128205128205128,5,180,5,1983
single_year_year_standardized,0.81,0.028089887640449437,0.5,0.05319148936170213,5,173,5,1990
single_year_year_standardized,0.82,0.028901734104046242,0.5,0.0546448087431694,5,168,5,1995
single_year_year_standardized,0.83,0.030120481927710843,0.5,0.056818181818181816,5,161,5,2002
single_year_year_standardized,0.84,0.025157232704402517,0.4,0.047337278106508875,4,155,6,2008
single_year_year_standardized,0.85,0.02702702702702703,0.4,0.05063291139240506,4,144,6,2019
single_year_year_standardized,0.86,0.027777777777777776,0.4,0.05194805194805195,4,140,6,2023
single_year_year_standardized,0.87,0.029197080291970802,0.4,0.05442176870748299,4,133,6,2030
single_year_year_standardized,0.88,0.03125,0.4,0.057971014492753624,4,124,6,2039
single_year_year_standardized,0.89,0.03278688524590164,0.4,0.06060606060606061,4,118,6,2045
single_year_year_standardized,0.9,0.03418803418803419,0.4,0.06299212598425197,4,113,6,2050
single_year_year_standardized,0.91,0.035398230088495575,0.4,0.06504065040650407,4,109,6,2054
single_year_year_standardized,0.92,0.03636363636363636,0.4,0.06666666666666667,4,106,6,2057
single_year_year_standardized,0.93,0.038834951456310676,0.4,0.07079646017699115,4,99,6,2064
single_year_year_standardized,0.94,0.0425531914893617,0.4,0.07692307692307693,4,90,6,2073
single_year_year_standardized,0.95,0.047619047619047616,0.4,0.0851063829787234,4,80,6,2083
single_year_year_standardized,0.96,0.056338028169014086,0.4,0.09876543209876543,4,67,6,2096
single_year_year_standardized,0.97,0.05263157894736842,0.3,0.08955223880597014,3,54,7,2109
single_year_year_standardized,0.98,0.06,0.3,0.1,3,47,7,2116
single_year_year_standardized,0.99,0.07407407407407407,0.2,0.10810810810810811,2,25,8,2138
trend_3year_year_standardized,0.05,0.014084507042253521,0.5555555555555556,0.027472527472527472,5,350,4,1593
trend_3year_year_standardized,0.06,0.01529051987767584,0.5555555555555556,0.02976190476190476,5,322,4,1621
trend_3year_year_standardized,0.07,0.016339869281045753,0.5555555555555556,0.031746031746031744,5,301,4,1642
trend_3year_year_standardized,0.08,0.017006802721088437,0.5555555555555556,0.033003300330033,5,289,4,1654
trend_3year_year_standardized,0.09,0.01858736059479554,0.5555555555555556,0.03597122302158273,5,264,4,1679
trend_3year_year_standardized,0.1,0.01968503937007874,0.5555555555555556,0.03802281368821293,5,249,4,1694
trend_3year_year_standardized,0.11,0.0211864406779661,0.5555555555555556,0.04081632653061224,5,231,4,1712
trend_3year_year_standardized,0.12,0.021929824561403508,0.5555555555555556,0.04219409282700422,5,223,4,1720
trend_3year_year_standardized,0.13,0.02242152466367713,0.5555555555555556,0.04310344827586207,5,218,4,1725
trend_3year_year_standardized,0.14,0.02336448598130841,0.5555555555555556,0.04484304932735426,5,209,4,1734
trend_3year_year_standardized,0.15,0.024390243902439025,0.5555555555555556,0.04672897196261682,5,200,4,1743
trend_3year_year_standardized,0.16,0.025,0.5555555555555556,0.04784688995215311,5,195,4,1748
trend_3year_year_standardized,0.17,0.025380710659898477,0.5555555555555556,0.04854368932038835,5,192,4,1751
