종목코드,corp_code,기업명,event_year_Y,event_date,event_source,y_minus_1_excluded
011720,00000000,현대페인트,2016,2016-11-21,폐지사유: 감사의견 의견거절,True
014350,00000000,신일건업,2015,2015-04-15,폐지사유: 자본전액잠식,True
015540,00000000,에코바이브,2023,2023-11-07,폐지사유: 감사의견 의견거절 2년 계속,True
016420,00000000,NH농협증권,2015,2015-01-20,폐지사유: 해산 사유 발생,True
017680,00000000,데코앤이,2019,2019-11-20,폐지사유: 발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,True
019300,00000000,태림페이퍼,2016,2016-08-11,폐지사유: 신청에 의한 상장폐지,True
023430,00000000,아이이,2017,2017-12-20,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
025850,00000000,한화화인케미칼,2016,2016-03-15,폐지사유: 해산 사유 발생,True
026260,00000000,위너지스,2018,2018-10-11,폐지사유: 감사의견거절(감사범위 제한),True
028040,00000000,미래SCI,2021,2021-04-13,"폐지사유: 최근 2년간 3회 이상 공시규정 제19조제1항의 규정에 의한 사업보고서, 반기보고서 또는 분기보고서 법정제출기한 내 미제출",True
030270,00000000,에스마크,2020,2020-05-21,폐지사유: 감사의견거절(감사범위제한 및 계속기업 존속 불확실),True
030790,00000000,비케이탑스,2024,2024-05-13,폐지사유: 감사의견 의견거절 2년 계속,True
032040,00000000,C&S자산관리,2018,2018-10-11,폐지사유: 감사의견거절(범위제한 및 계속기업 존속능력에 대한 불확실성),True
032420,00000000,터보테크,2015,2015-01-27,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
033110,00000000,코너스톤네트웍스,2021,2021-10-08,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
033430,00000000,디에스티,2021,2021-09-02,폐지사유: 감사의견 한정(감사범위 제한),True
033600,00000000,럭슬,2021,2021-08-11,폐지사유: 감사의견 거절(감사범위 제한),True
033630,00000000,SK브로드밴드,2015,2015-07-01,폐지사유: 상장폐지신청('15.6.11),True
035480,00000000,제이테크놀로지,2019,2019-12-12,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
036220,00000000,오상헬스케어,2016,2016-05-09,폐지사유: 감사의견 거절(감사범위 제한으로 인한 의견거절),True
036260,00000000,이매진아시아,2021,2021-02-15,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당,True
036500,00000000,에스에스컴텍,2017,2017-05-11,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
037340,00000000,씨엘인터내셔널,2016,2016-09-08,폐지사유: 2반기 연속 자본잠식률 50% 이상,True
037620,00000000,미래에셋증권,2017,2017-01-20,폐지사유: 해산 사유 발생,True
038160,00000000,팍스넷,2021,2021-08-23,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
039230,00000000,에이아이비트,2021,2021-10-06,폐지사유: 감사의견 거절(감사범위 제한),True
039530,00000000,씨앤케이인터,2015,2015-05-19,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
039670,00000000,스포츠서울,2022,2022-04-20,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
039790,00000000,위노바,2018,2018-03-09,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
039850,00000000,태창파로스,2015,2015-05-19,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
040670,00000000,와이즈파워,2015,2015-07-16,폐지사유: 자본전액잠식 등,True
043580,00000000,에임하이,2018,2018-08-10,폐지사유: 감사의견거절(감사범위 제한),True
045890,00000000,GV,2021,2021-12-20,폐지사유: 해산사유 발생(파산선고),True
046110,00000000,한일네트웍스,2022,2022-10-05,폐지사유: 상장폐지 신청('22.08.31),True
047440,00000000,레이젠,2018,2018-10-11,폐지사유: 감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
048260,00000000,오스템임플란트,2023,2023-08-14,폐지사유: 상장폐지 신청('23.06.28),True
050320,00000000,에스에이치엔엘,2022,2022-05-31,폐지사유: 감사의견 거절,True
050540,00000000,엠피씨플러스,2023,2023-05-08,폐지사유: 감사의견 거절(감사범위 제한),True
051170,00000000,썬코어,2018,2018-03-15,폐지사유: '16사업연도 감사의견거절(계속기업 존속능력에 대한 불확실성) 및 '17사업연도 반기 감사의견거절(계속기업 존속능력에 대한 불확실성),True
051310,00000000,플랜텍,2016,2016-04-15,폐지사유: 자본전액잠식,True
052190,00000000,세영디앤씨,2022,2022-05-27,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
052270,00000000,우전,2017,2017-04-13,폐지사유: 자본전액잠식 등,True
052290,00000000,트레이스,2018,2018-10-11,폐지사유: 감사의견거절(감사범위 제한),True
